way_id,geom
313840896,"POINT (18.821999 -34.069963)"
365006549,"POINT (18.686425 -33.994443)"
39810553,"POINT (18.592313 -33.967258)"
207460631,"POINT (18.593083 -33.971000)"
343407349,"POINT (25.609719 -33.962493)"
343411703,"POINT (25.609229 -33.962415)"
50930549,"POINT (18.640900 -33.863122)"
365959830,"POINT (26.530182 -33.310070)"
218039882,"POINT (27.905939 -33.003214)"
217129848,"MULTIPOINT ((26.871893 -31.900586), (26.871894 -31.900586))"
164699264,"POINT (28.759552 -31.598893)"
182856776,"POINT (30.996766 -29.854621)"
48667211,"POINT (31.002771 -29.834805)"
45471525,"POINT (31.055851 -29.718650)"
45471526,"POINT (31.056044 -29.718595)"
102695950,"POINT (26.190016 -29.159882)"
102773794,"POINT (26.183767 -29.132975)"
61242156,"POINT (26.183803 -29.132975)"
256094041,"POINT (26.199936 -29.118666)"
288827106,"POINT (26.203491 -29.122288)"
288827106,"POINT (26.211432 -29.123944)"
289263406,"MULTIPOINT ((26.224597 -29.123279), (26.224592 -29.123334))"
261469181,"POINT (26.224648 -29.123309)"
140223076,"POINT (26.202483 -29.109102)"
292660276,"POINT (26.208695 -29.110754)"
113767793,"POINT (27.860904 -26.329243)"
123342756,"POINT (28.193469 -26.330021)"
24440352,"POINT (27.979414 -26.266779)"
150957532,"POINT (27.930514 -26.258039)"
150957538,"POINT (27.930655 -26.257886)"
150957533,"POINT (27.930752 -26.257829)"
61759428,"POINT (27.931602 -26.257821)"
213916394,"POINT (27.980259 -26.235607)"
46869178,"POINT (28.030817 -26.205867)"
28443467,"POINT (27.703841 -26.182369)"
146161200,"POINT (27.968579 -26.128432)"
10851464,"POINT (27.968685 -26.128393)"
28319341,"POINT (28.141851 -26.116550)"
30027411,"POINT (28.235562 -26.117408)"
16923069,"MULTIPOINT ((28.040485 -26.102154), (28.040425 -26.102250))"
362735627,"POINT (27.815284 -26.087467)"
362738780,"POINT (27.815287 -26.087483)"
149579494,"POINT (27.818573 -26.088780)"
40068481,"POINT (27.968472 -26.068601)"
200166565,"POINT (27.968491 -26.068568)"
141199314,"POINT (28.013679 -26.025299)"
27847977,"MULTIPOINT ((28.013950 -26.025525), (28.013662 -26.025388))"
122548076,"POINT (28.001075 -26.019259)"
122549893,"POINT (28.001116 -26.019334)"
147959151,"POINT (28.138286 -25.870804)"
159194906,"POINT (28.184517 -25.858424)"
253726054,"POINT (28.304075 -25.826770)"
247028713,"POINT (28.314951 -25.824953)"
302910016,"POINT (28.340633 -25.760285)"
4243516,"POINT (28.222552 -25.748502)"
302904589,"POINT (28.225014 -25.748330)"
272564072,"POINT (25.902412 -24.660481)"
92786936,"POINT (25.903146 -24.658695)"
244917916,"POINT (17.093624 -22.582639)"
93892243,"POINT (17.079814 -22.556354)"
365897188,"POINT (17.080674 -22.563251)"
352725329,"POINT (55.503461 -20.902156)"
126220154,"POINT (55.451082 -20.889367)"
41664593,"POINT (55.446863 -20.888811)"
31131120,"POINT (55.452152 -20.876507)"
372301002,"POINT (57.497067 -20.232939)"
372300626,"POINT (57.497921 -20.232590)"
218126626,"POINT (35.032869 -15.779592)"
218126628,"POINT (35.032998 -15.780119)"
266255205,"POINT (35.024194 -15.728819)"
98047435,"POINT (28.320967 -15.447317)"
98620752,"MULTIPOINT ((28.304775 -15.434722), (28.305605 -15.435387))"
98620752,"MULTIPOINT ((28.304775 -15.434722), (28.305605 -15.435387))"
95789784,"POINT (28.324050 -15.440398)"
98620752,"MULTIPOINT ((28.304775 -15.434722), (28.305605 -15.435387))"
98620759,"POINT (28.304383 -15.434408)"
98620752,"MULTIPOINT ((28.304775 -15.434722), (28.305605 -15.435387))"
98620736,"POINT (28.305312 -15.434101)"
94749979,"POINT (28.279989 -15.424011)"
94749979,"MULTIPOINT ((28.279243 -15.419243), (28.279459 -15.420618))"
229740310,"POINT (28.304405 -15.416579)"
98888544,"POINT (28.355640 -15.424007)"
94524060,"POINT (28.343348 -15.406796)"
