object_type,object_id,st_astext
way,313840896,POINT (18.821999 -34.069963)
way,365006549,POINT (18.686425 -33.994443)
way,39810553,POINT (18.592313 -33.967258)
way,207460631,POINT (18.593083 -33.971000)
way,343407349,POINT (25.609719 -33.962493)
way,343411703,POINT (25.609229 -33.962415)
way,50930549,POINT (18.640900 -33.863122)
way,365959830,POINT (26.530182 -33.310070)
way,218039882,POINT (27.905939 -33.003214)
way,217129848,POINT (26.871893 -31.900586)
way,217129848,POINT (26.871894 -31.900586)
way,164699264,POINT (28.759552 -31.598893)
way,182856776,POINT (30.996766 -29.854621)
way,48667211,POINT (31.002771 -29.834805)
way,45471525,POINT (31.055851 -29.718650)
way,45471526,POINT (31.056044 -29.718595)
way,102695950,POINT (26.190016 -29.159882)
way,102773794,POINT (26.183767 -29.132975)
way,61242156,POINT (26.183803 -29.132975)
way,256094041,POINT (26.199936 -29.118666)
way,288827106,POINT (26.203491 -29.122288)
way,288827106,POINT (26.211432 -29.123944)
way,289263406,POINT (26.224597 -29.123279)
way,289263406,POINT (26.224592 -29.123334)
way,261469181,POINT (26.224648 -29.123309)
way,140223076,POINT (26.202483 -29.109102)
way,292660276,POINT (26.208695 -29.110754)
way,113767793,POINT (27.860904 -26.329243)
way,123342756,POINT (28.193469 -26.330021)
way,24440352,POINT (27.979414 -26.266779)
way,150957532,POINT (27.930514 -26.258039)
way,150957538,POINT (27.930655 -26.257886)
way,150957533,POINT (27.930752 -26.257829)
way,61759428,POINT (27.931602 -26.257821)
way,213916394,POINT (27.980259 -26.235607)
way,46869178,POINT (28.030817 -26.205867)
way,28443467,POINT (27.703841 -26.182369)
way,146161200,POINT (27.968579 -26.128432)
way,10851464,POINT (27.968685 -26.128393)
way,28319341,POINT (28.141851 -26.116550)
way,30027411,POINT (28.235562 -26.117408)
way,16923069,POINT (28.040485 -26.102154)
way,16923069,POINT (28.040425 -26.102250)
way,362735627,POINT (27.815284 -26.087467)
way,362738780,POINT (27.815287 -26.087483)
way,149579494,POINT (27.818573 -26.088780)
way,40068481,POINT (27.968472 -26.068601)
way,200166565,POINT (27.968491 -26.068568)
way,141199314,POINT (28.013679 -26.025299)
way,27847977,POINT (28.013950 -26.025525)
way,27847977,POINT (28.013662 -26.025388)
way,122548076,POINT (28.001075 -26.019259)
way,122549893,POINT (28.001116 -26.019334)
way,147959151,POINT (28.138286 -25.870804)
way,159194906,POINT (28.184517 -25.858424)
way,253726054,POINT (28.304075 -25.826770)
way,247028713,POINT (28.314951 -25.824953)
way,302910016,POINT (28.340633 -25.760285)
way,4243516,POINT (28.222552 -25.748502)
way,302904589,POINT (28.225014 -25.748330)
way,272564072,POINT (25.902412 -24.660481)
way,92786936,POINT (25.903146 -24.658695)
way,244917916,POINT (17.093624 -22.582639)
way,93892243,POINT (17.079814 -22.556354)
way,365897188,POINT (17.080674 -22.563251)
way,352725329,POINT (55.503461 -20.902156)
way,126220154,POINT (55.451082 -20.889367)
way,41664593,POINT (55.446863 -20.888811)
way,31131120,POINT (55.452152 -20.876507)
way,372301002,POINT (57.497067 -20.232939)
way,372300626,POINT (57.497921 -20.232590)
way,218126626,POINT (35.032869 -15.779592)
way,218126628,POINT (35.032998 -15.780119)
way,266255205,POINT (35.024194 -15.728819)
way,98047435,POINT (28.320967 -15.447317)
way,98620752,POINT (28.304775 -15.434722)
way,98620752,POINT (28.305605 -15.435387)
way,98620752,POINT (28.304775 -15.434722)
way,98620752,POINT (28.305605 -15.435387)
way,95789784,POINT (28.324050 -15.440398)
way,98620752,POINT (28.304775 -15.434722)
way,98620752,POINT (28.305605 -15.435387)
way,98620759,POINT (28.304383 -15.434408)
way,98620752,POINT (28.304775 -15.434722)
way,98620752,POINT (28.305605 -15.435387)
way,98620736,POINT (28.305312 -15.434101)
way,94749979,POINT (28.279989 -15.424011)
way,94749979,POINT (28.279243 -15.419243)
way,94749979,POINT (28.279459 -15.420618)
way,229740310,POINT (28.304405 -15.416579)
way,98888544,POINT (28.355640 -15.424007)
way,94524060,POINT (28.343348 -15.406796)
way,95668260,POINT (28.282549 -15.404250)
way,99153391,POINT (28.379573 -15.365962)
way,352660907,POINT (13.204180 -8.902875)
way,125524543,POINT (13.232235 -8.819955)
way,32763657,POINT (39.221258 -6.834728)
way,23326755,POINT (39.233868 -6.826662)
way,23326755,POINT (39.233868 -6.826662)
way,364399385,POINT (39.254892 -6.828234)
way,366948149,POINT (39.255281 -6.828797)
way,364457736,POINT (39.255266 -6.827464)
way,364457736,POINT (39.255134 -6.828026)
way,27514604,POINT (39.273854 -6.815261)
way,172251186,POINT (39.276486 -6.816264)
way,128241255,POINT (39.238952 -6.811905)
way,32728471,POINT (39.261999 -6.806507)
way,27514603,POINT (39.274610 -6.814494)
way,27514614,POINT (39.277047 -6.814988)
way,27514614,POINT (39.277629 -6.814842)
way,27514614,POINT (39.277629 -6.814842)
way,32677797,POINT (39.259597 -6.795508)
way,360715657,POINT (39.209909 -6.775755)
way,355097601,POINT (39.239535 -6.775211)
way,361567814,POINT (39.248437 -6.782457)
way,355088928,POINT (39.238957 -6.774762)
way,371159655,POINT (39.270402 -6.774519)
way,360867354,POINT (39.269312 -6.767893)
way,362844831,POINT (39.273509 -6.768932)
way,308863812,POINT (39.280631 -6.753346)
